District,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Agra,5471.0,6295.0,24633.0,6773.0,24243.0,25463.0,19806.0,21266.0,21273.0,22397.0
Aligarh,6801.0,6737.0,17843.0,4250.0,20042.0,21126.0,19825.0,31406.0,30477.0,29783.0
Allahabad,0.0,0.0,16211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ambedkar Nagar,0.0,0.0,3013.0,0.0,3389.0,5093.0,4165.0,5518.0,9147.0,12094.0
Amethi,0.0,0.0,3411.0,0.0,5211.0,5936.0,6484.0,5825.0,5656.0,5259.0
Amroha,0.0,0.0,5391.0,0.0,5659.0,6156.0,5948.0,6307.0,0.0,10978.0
Auraiya,0.0,0.0,4556.0,0.0,6302.0,6345.0,6753.0,5644.0,6125.0,8757.0
Ayodhya,6042.0,7479.0,6517.0,4587.0,16233.0,15086.0,17622.0,15634.0,16829.0,15584.0
Azamgarh,0.0,0.0,6683.0,0.0,6934.0,7675.0,7493.0,8012.0,12735.0,20985.0
Badaun,0.0,0.0,8786.0,0.0,9024.0,7792.0,8245.0,10655.0,15256.0,11826.0
Baghpat,0.0,0.0,4680.0,0.0,5594.0,5709.0,5553.0,6646.0,6684.0,8945.0
Bahraich,0.0,0.0,7175.0,0.0,8279.0,11588.0,10755.0,11213.0,14408.0,15968.0
Ballia,7294.0,6346.0,9526.0,5838.0,11835.0,9524.0,10290.0,11467.0,15289.0,17355.0
Balrampur,0.0,0.0,1961.0,0.0,2753.0,3641.0,4380.0,3899.0,5759.0,6315.0
Banda,0.0,0.0,3229.0,0.0,4227.0,4352.0,5000.0,5144.0,7326.0,8749.0
Barabanki,0.0,0.0,5544.0,0.0,10080.0,11593.0,10510.0,10691.0,18624.0,18927.0
Bareilly,6229.0,5609.0,20648.0,5345.0,20038.0,30763.0,22314.0,23719.0,29366.0,27800.0
Basti,7021.0,4146.0,8207.0,5652.0,10853.0,12008.0,11243.0,13102.0,16779.0,14455.0
Bhadohi,0.0,0.0,2074.0,0.0,2774.0,2358.0,2685.0,3186.0,4071.0,4395.0
Bijnor,0.0,0.0,10762.0,0.0,10156.0,10842.0,10020.0,10450.0,16880.0,16516.0
Bulandshahar,0.0,0.0,13932.0,0.0,15296.0,14443.0,16159.0,20448.0,15333.0,14093.0
Chandoli,0.0,0.0,3344.0,0.0,4131.0,3936.0,3206.0,4921.0,5699.0,6129.0
Chitrakoot,0.0,0.0,2766.0,0.0,2572.0,2544.0,2523.0,2213.0,4033.0,4738.0
Deoria,0.0,0.0,5538.0,0.0,6034.0,5814.0,5605.0,5497.0,8287.0,9383.0
Etah,0.0,0.0,7027.0,0.0,7442.0,7450.0,7052.0,6721.0,10759.0,6485.0
Etawah,6478.0,5956.0,13086.0,7772.0,12938.0,11674.0,14468.0,11199.0,15928.0,13317.0
Faizabad,0.0,0.0,5297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fatehgarh,0.0,0.0,6457.0,0.0,6721.0,5785.0,37702.0,6198.0,9298.0,8696.0
Fatehpur,0.0,0.0,7025.0,0.0,6710.0,6656.0,7605.0,7451.0,9325.0,9981.0
Firozabad,6458.0,5822.0,16570.0,4565.0,16842.0,15460.0,15429.0,16138.0,21218.0,23863.0
G. R. P.,0.0,0.0,11072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gautambudh Nagar,0.0,0.0,16704.0,0.0,16736.0,26895.0,15639.0,18792.0,19770.0,22754.0
Ghaziabad,6543.0,7304.0,26753.0,6904.0,29818.0,29023.0,26022.0,34219.0,28982.0,29002.0
Ghazipur,0.0,0.0,4309.0,0.0,6753.0,6335.0,9468.0,8304.0,8597.0,11934.0
Gonda,0.0,0.0,5956.0,0.0,6154.0,8252.0,8820.0,7542.0,11404.0,12701.0
Gorakhpur,5808.0,4936.0,19025.0,7284.0,21430.0,19563.0,31539.0,18524.0,24446.0,31034.0
Hamirpur,0.0,0.0,3270.0,0.0,4216.0,4526.0,4602.0,4933.0,9234.0,8428.0
Hapur,0.0,0.0,5165.0,0.0,5822.0,5875.0,4822.0,8239.0,10273.0,8116.0
Hardoi,0.0,0.0,7030.0,0.0,9086.0,19651.0,8261.0,15543.0,14540.0,19014.0
Hathras,0.0,0.0,5364.0,0.0,6128.0,4998.0,4526.0,4594.0,10204.0,11400.0
Jalaun,0.0,0.0,3862.0,0.0,5957.0,7413.0,8460.0,8535.0,4008.0,5976.0
Jaunpur,0.0,0.0,5183.0,0.0,9438.0,13193.0,8394.0,8723.0,12245.0,12376.0
Jhansi,5905.0,7402.0,11945.0,8213.0,12204.0,13616.0,17253.0,15054.0,17530.0,18389.0
Kannauj,0.0,0.0,5231.0,0.0,6354.0,5360.0,5133.0,6305.0,6370.0,10215.0
Kanpur Commissionarate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11892.0,19920.0,17273.0
Kanpur Dehat,0.0,0.0,6262.0,0.0,6820.0,14136.0,10813.0,6560.0,8349.0,7247.0
Kanpur Nagar,5760.0,7453.0,21909.0,5904.0,21311.0,25471.0,29883.0,7134.0,6513.0,6693.0
Kanpur Outer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4520.0,0.0,0.0
Kasganj,0.0,0.0,3408.0,0.0,5248.0,5779.0,5288.0,9721.0,8075.0,7394.0
Kaushambi,0.0,0.0,4756.0,0.0,5414.0,6337.0,8605.0,5219.0,7612.0,7407.0
Khiri,0.0,0.0,8325.0,0.0,10649.0,14093.0,14287.0,14782.0,19524.0,17272.0
Kushi Nagar,0.0,0.0,7623.0,0.0,8123.0,7013.0,7563.0,8337.0,10761.0,12770.0
Lalitpur,0.0,0.0,3207.0,0.0,5623.0,3390.0,3645.0,4104.0,9806.0,9751.0
Lucknow,5009.0,7585.0,33064.0,6880.0,32968.0,38928.0,5320.0,7615.0,5879.0,5607.0
Lucknow Commissionarate,0.0,0.0,0.0,0.0,0.0,0.0,24458.0,21355.0,23533.0,24411.0
Lucknow Grameen,0.0,0.0,0.0,0.0,0.0,0.0,2878.0,1662.0,0.0,0.0
Maharajganj,0.0,0.0,4402.0,0.0,5073.0,6053.0,5853.0,5210.0,6442.0,8650.0
Mahoba,0.0,0.0,2308.0,0.0,3606.0,3181.0,3423.0,3201.0,5171.0,4955.0
Mainpuri,0.0,0.0,6784.0,0.0,7168.0,6825.0,11994.0,6317.0,11174.0,11597.0
Mathura,5200.0,5910.0,19681.0,7333.0,19539.0,17783.0,18103.0,20915.0,18856.0,20597.0
