District,2014_total,2023_total,Change_pct,Years_rising,Years_falling,Trend,2016_total,2021_total,2022_total,2020_total
Prayagraj,4760.0,30362.0,537.9,5,4,RISING,,,,
Meerut,4873.0,30408.0,524.0,4,5,RISING,,,,
Gorakhpur,5808.0,31034.0,434.3,5,4,RISING,,,,
Bareilly,6229.0,27800.0,346.3,5,4,RISING,,,,
Ghaziabad,6543.0,29002.0,343.3,5,4,RISING,,,,
Aligarh,6801.0,29783.0,337.9,4,5,RISING,,,,
Agra,5471.0,22397.0,309.4,7,2,RISING,,,,
Ambedkar Nagar,,12094.0,301.4,5,1,RISING,3013.0,,,
Mathura,5200.0,20597.0,296.1,6,3,RISING,,,,
Sitapur,6755.0,25099.0,271.6,6,3,RISING,,,,
Firozabad,6458.0,23863.0,269.5,5,4,RISING,,,,
Barabanki,,18927.0,241.4,5,1,RISING,5544.0,,,
Shahjahanpur,7208.0,24535.0,240.4,5,4,RISING,,,,
Balrampur,,6315.0,222.0,5,1,RISING,1961.0,,,
Muzaffarnagar,4780.0,15015.0,214.1,5,4,RISING,,,,
Azamgarh,,20985.0,214.0,5,1,RISING,6683.0,,,
Jhansi,5905.0,18389.0,211.4,7,2,RISING,,,,
Lalitpur,,9751.0,204.1,4,2,RISING,3207.0,,,
Sultanpur,,12472.0,197.1,4,2,RISING,4198.0,,,
Sant Kabirnagar,,7415.0,189.8,5,1,RISING,2559.0,,,
Ghazipur,,11934.0,177.0,4,2,RISING,4309.0,,,
Banda,,8749.0,171.0,6,0,RISING,3229.0,,,
Hardoi,,19014.0,170.5,4,2,RISING,7030.0,,,
Sidharthnagar,,7329.0,165.8,5,1,RISING,2757.0,,,
Saharanpur,5622.0,14814.0,163.5,4,5,RISING,,,,
Ayodhya,6042.0,15584.0,157.9,4,5,RISING,,,,
Hamirpur,,8428.0,157.7,5,1,RISING,3270.0,,,
Raibareilly,,13825.0,142.2,4,2,RISING,5709.0,,,
Sambhal,,14685.0,140.5,4,2,RISING,6106.0,,,
Jaunpur,,12376.0,138.8,5,1,RISING,5183.0,,,
Ballia,7294.0,17355.0,137.9,6,3,RISING,,,,
Mirzapur,6321.0,14768.0,133.6,6,3,RISING,,,,
Bahraich,,15968.0,122.6,5,1,RISING,7175.0,,,
Moradabad,6851.0,15144.0,121.0,4,5,RISING,,,,
Kasganj,,7394.0,117.0,3,3,RISING,3408.0,,,
Mahoba,,4955.0,114.7,3,3,RISING,2308.0,,,
Gonda,,12701.0,113.2,5,1,RISING,5956.0,,,
Hathras,,11400.0,112.5,4,2,RISING,5364.0,,,
Shrawasti,,4246.0,112.0,6,0,RISING,2003.0,,,
Bhadohi,,4395.0,111.9,5,1,RISING,2074.0,,,
Sonbhadra,,6776.0,108.1,4,2,RISING,3256.0,,,
Khiri,,17272.0,107.5,5,1,RISING,8325.0,,,
Basti,7021.0,14455.0,105.9,5,4,RISING,,,,
Etawah,6478.0,13317.0,105.6,4,5,RISING,,,,
Amroha,,10978.0,103.6,4,1,RISING,5391.0,,,
Maharajganj,,8650.0,96.5,4,2,RISING,4402.0,,,
Kannauj,,10215.0,95.3,4,2,RISING,5231.0,,,
Auraiya,,8757.0,92.2,5,1,RISING,4556.0,,,
Baghpat,,8945.0,91.1,5,1,RISING,4680.0,,,
Noida,4540.0,8334.0,83.6,5,4,RISING,,,,
Chandoli,,6129.0,83.3,4,2,RISING,3344.0,,,
Mau,,7870.0,77.9,4,2,RISING,4424.0,,,
Rampur,,13635.0,73.0,4,2,RISING,7881.0,,,
Pratapgarh,,12573.0,72.7,3,3,RISING,7281.0,,,
Chitrakoot,,4738.0,71.3,2,4,RISING,2766.0,,,
Mainpuri,,11597.0,70.9,4,2,RISING,6784.0,,,
Deoria,,9383.0,69.4,3,3,RISING,5538.0,,,
Kushi Nagar,,12770.0,67.5,5,1,RISING,7623.0,,,
Hapur,,8116.0,57.1,4,2,RISING,5165.0,,,
Kaushambi,,7407.0,55.7,4,2,RISING,4756.0,,,
Jalaun,,5976.0,54.7,5,1,RISING,3862.0,,,
Amethi,,5259.0,54.2,3,3,RISING,3411.0,,,
Bijnor,,16516.0,53.5,3,3,RISING,10762.0,,,
Unnao,,10414.0,46.8,3,3,RISING,7096.0,,,
Kanpur Commissionarate,,17273.0,45.2,1,1,RISING,,11892.0,,
Varanasi Commissionarate,,11768.0,42.2,1,1,RISING,,8277.0,,
Fatehpur,,9981.0,42.1,3,3,RISING,7025.0,,,
Pilibhit,,10240.0,37.5,3,3,RISING,7449.0,,,
Gautambudh Nagar,,22754.0,36.2,5,1,RISING,16704.0,,,
Fatehgarh,,8696.0,34.7,3,3,RISING,6457.0,,,
Badaun,,11826.0,34.6,4,2,RISING,8786.0,,,
Kanpur Nagar,5760.0,6693.0,16.2,6,3,RISING,,,,
Kanpur Dehat,,7247.0,15.7,3,3,RISING,6262.0,,,
Lucknow,5009.0,5607.0,11.9,5,4,STABLE,,,,
Bulandshahar,,14093.0,1.2,3,3,STABLE,13932.0,,,
Raebareli,5945.0,5979.0,0.6,5,4,STABLE,,,,
Lucknow Commissionarate,,24411.0,-0.2,2,1,STABLE,,,,24458.0
Etah,,6485.0,-7.7,3,3,STABLE,7027.0,,,
Shamli,,4336.0,-16.2,3,3,FALLING,5174.0,,,
Varanasi,7505.0,4847.0,-35.4,4,5,FALLING,,,,
Kanpur Outer,,,-100.0,0,1,FALLING,,4520.0,0.0,
Lucknow Grameen,,,-100.0,0,2,FALLING,,,0.0,2878.0
Vasanasi Dehat,,,-100.0,0,1,FALLING,,4817.0,0.0,
