District,Rank,Crime_Type,Total_Cases,Pct_of_District_Total
Agra,1,IPC Crimes,72764,41.0
Agra,2,SLL Crimes,28760,16.2
Agra,3,Crimes Against Women,11120,6.3
Agra,4,Theft,6761,3.8
Agra,5,Robbery,6428,3.6
Aligarh,1,IPC Crimes,62410,33.1
Aligarh,2,SLL Crimes,47261,25.1
Aligarh,3,Crimes Against Women,11739,6.2
Aligarh,4,Robbery,6963,3.7
Aligarh,5,Dowry Deaths,6604,3.5
Allahabad,1,IPC Crimes,9737,60.1
Allahabad,2,SLL Crimes,4738,29.2
Allahabad,3,Crimes Against Women,1165,7.2
Allahabad,4,Crimes Against SCs,292,1.8
Allahabad,5,Crimes Against Children,270,1.7
Ambedkar Nagar,1,IPC Crimes,19111,45.1
Ambedkar Nagar,2,SLL Crimes,17193,40.5
Ambedkar Nagar,3,Crimes Against Women,3175,7.5
Ambedkar Nagar,4,Crimes Against SCs,1063,2.5
Ambedkar Nagar,5,Crimes Against Children,974,2.3
Amethi,1,IPC Crimes,22241,58.9
Amethi,2,SLL Crimes,9659,25.6
Amethi,3,Crimes Against Women,2775,7.3
Amethi,4,Crimes Against SCs,1882,5.0
Amethi,5,Crimes Against Children,671,1.8
Amroha,1,SLL Crimes,19238,47.6
Amroha,2,IPC Crimes,17073,42.2
Amroha,3,Crimes Against Women,2904,7.2
Amroha,4,Crimes Against Children,441,1.1
Amroha,5,Crimes Against SCs,434,1.1
Auraiya,1,IPC Crimes,20011,45.0
Auraiya,2,SLL Crimes,17352,39.0
Auraiya,3,Crimes Against Women,4060,9.1
Auraiya,4,Crimes Against SCs,1291,2.9
Auraiya,5,Crimes Against Children,1095,2.5
Ayodhya,1,IPC Crimes,31210,25.7
Ayodhya,2,SLL Crimes,21686,17.8
Ayodhya,3,Murder,7036,5.8
Ayodhya,4,Fraud,6583,5.4
Ayodhya,5,Assault,6222,5.1
Azamgarh,1,IPC Crimes,38657,54.8
Azamgarh,2,SLL Crimes,19558,27.7
Azamgarh,3,Crimes Against Women,6747,9.6
Azamgarh,4,Crimes Against Children,1931,2.7
Azamgarh,5,Crimes Against SCs,1702,2.4
Badaun,1,SLL Crimes,31832,44.5
Badaun,2,IPC Crimes,30499,42.6
Badaun,3,Crimes Against Women,6023,8.4
Badaun,4,Crimes Against Children,1377,1.9
Badaun,5,Crimes Against SCs,904,1.3
Baghpat,1,IPC Crimes,20973,47.9
Baghpat,2,SLL Crimes,16654,38.0
Baghpat,3,Crimes Against Women,3132,7.1
Baghpat,4,Crimes Against Children,1392,3.2
Baghpat,5,Cyber Crimes,819,1.9
Bahraich,1,IPC Crimes,42706,53.8
Bahraich,2,SLL Crimes,22699,28.6
Bahraich,3,Crimes Against Women,9233,11.6
Bahraich,4,Crimes Against SCs,2083,2.6
