District,Crime_Type,Year,Total,Prev_Year_Total,YoY_Change,YoY_Pct
Agra,Assault,2015,589,255,334,131.0
Agra,Assault,2016,240,589,-349,-59.3
Agra,Assault,2017,756,240,516,215.0
Agra,Assault,2018,1009,756,253,33.5
Agra,Assault,2019,675,1009,-334,-33.1
Agra,Assault,2020,1007,675,332,49.2
Agra,Assault,2021,212,1007,-795,-78.9
Agra,Assault,2022,154,212,-58,-27.4
Agra,Assault,2023,964,154,810,526.0
Agra,Burglary,2015,131,84,47,56.0
Agra,Burglary,2016,180,131,49,37.4
Agra,Burglary,2017,1001,180,821,456.1
Agra,Burglary,2018,868,1001,-133,-13.3
Agra,Burglary,2019,967,868,99,11.4
Agra,Burglary,2020,877,967,-90,-9.3
Agra,Burglary,2021,100,877,-777,-88.6
Agra,Burglary,2022,653,100,553,553.0
Agra,Burglary,2023,305,653,-348,-53.3
Agra,Crimes Against Children,2018,586,347,239,68.9
Agra,Crimes Against Children,2019,776,586,190,32.4
Agra,Crimes Against Children,2020,323,776,-453,-58.4
Agra,Crimes Against Children,2021,79,323,-244,-75.5
Agra,Crimes Against Children,2022,80,79,1,1.3
Agra,Crimes Against Children,2023,248,80,168,210.0
Agra,Crimes Against SCs,2018,183,177,6,3.4
Agra,Crimes Against SCs,2019,173,183,-10,-5.5
Agra,Crimes Against SCs,2020,144,173,-29,-16.8
Agra,Crimes Against SCs,2021,239,144,95,66.0
Agra,Crimes Against SCs,2022,157,239,-82,-34.3
Agra,Crimes Against SCs,2023,149,157,-8,-5.1
Agra,Crimes Against STs,2016,0,16,-16,-100.0
Agra,Crimes Against STs,2018,0,0,0,
Agra,Crimes Against STs,2019,0,0,0,
Agra,Crimes Against STs,2020,0,0,0,
Agra,Crimes Against STs,2021,0,0,0,
Agra,Crimes Against STs,2022,0,0,0,
Agra,Crimes Against STs,2023,0,0,0,
Agra,Crimes Against Women,2018,1951,1669,282,16.9
Agra,Crimes Against Women,2019,1542,1951,-409,-21.0
Agra,Crimes Against Women,2020,1017,1542,-525,-34.0
Agra,Crimes Against Women,2021,1434,1017,417,41.0
Agra,Crimes Against Women,2022,1616,1434,182,12.7
Agra,Crimes Against Women,2023,1891,1616,275,17.0
Agra,Cyber Crimes,2019,151,86,65,75.6
Agra,Cyber Crimes,2020,84,151,-67,-44.4
Agra,Cyber Crimes,2021,127,84,43,51.2
Agra,Cyber Crimes,2022,160,127,33,26.0
Agra,Cyber Crimes,2023,213,160,53,33.1
Agra,Cybercrime,2015,641,898,-257,-28.6
Agra,Cybercrime,2016,372,641,-269,-42.0
Agra,Cybercrime,2017,208,372,-164,-44.1
Agra,Cybercrime,2018,910,208,702,337.5
Agra,Cybercrime,2019,322,910,-588,-64.6
Agra,Cybercrime,2020,1019,322,697,216.5
Agra,Cybercrime,2021,278,1019,-741,-72.7
Agra,Cybercrime,2022,419,278,141,50.7
Agra,Cybercrime,2023,587,419,168,40.1
Agra,Dowry Deaths,2015,1011,785,226,28.8
Agra,Dowry Deaths,2016,994,1011,-17,-1.7
Agra,Dowry Deaths,2017,706,994,-288,-29.0
Agra,Dowry Deaths,2018,162,706,-544,-77.1
Agra,Dowry Deaths,2019,1094,162,932,575.3
Agra,Dowry Deaths,2020,369,1094,-725,-66.3
Agra,Dowry Deaths,2021,251,369,-118,-32.0
Agra,Dowry Deaths,2022,35,251,-216,-86.1
Agra,Dowry Deaths,2023,190,35,155,442.9
Agra,Fraud,2015,351,1056,-705,-66.8
Agra,Fraud,2016,1120,351,769,219.1
Agra,Fraud,2017,552,1120,-568,-50.7
Agra,Fraud,2018,643,552,91,16.5
Agra,Fraud,2019,417,643,-226,-35.1
Agra,Fraud,2020,59,417,-358,-85.9
Agra,Fraud,2021,772,59,713,1208.5
Agra,Fraud,2022,170,772,-602,-78.0
Agra,Fraud,2023,733,170,563,331.2
Agra,IPC Crimes,2018,11035,10049,986,9.8
Agra,IPC Crimes,2019,9899,11035,-1136,-10.3
Agra,IPC Crimes,2020,9330,9899,-569,-5.7
Agra,IPC Crimes,2021,9211,9330,-119,-1.3
Agra,IPC Crimes,2022,11515,9211,2304,25.0
Agra,IPC Crimes,2023,11725,11515,210,1.8
Agra,Juvenile IPC,2019,0,0,0,
Agra,Juvenile IPC,2020,0,0,0,
Agra,Juvenile IPC,2021,0,0,0,
Agra,Juvenile IPC,2022,0,0,0,
Agra,Juvenile IPC,2023,0,0,0,
Agra,Juvenile SLL,2019,0,0,0,
Agra,Juvenile SLL,2020,0,0,0,
Agra,Juvenile SLL,2021,0,0,0,
Agra,Juvenile SLL,2022,0,0,0,
Agra,Juvenile SLL,2023,0,0,0,
Agra,Kidnapping,2015,959,878,81,9.2
Agra,Kidnapping,2016,650,959,-309,-32.2
Agra,Kidnapping,2017,941,650,291,44.8
Agra,Kidnapping,2018,215,941,-726,-77.2
Agra,Kidnapping,2019,144,215,-71,-33.0
Agra,Kidnapping,2020,160,144,16,11.1
Agra,Kidnapping,2021,1182,160,1022,638.8
Agra,Kidnapping,2022,639,1182,-543,-45.9
Agra,Kidnapping,2023,256,639,-383,-59.9
Agra,Missing Persons,2019,0,0,0,
Agra,Missing Persons,2020,0,0,0,
Agra,Missing Persons,2021,672,0,672,inf
Agra,Missing Persons,2022,0,672,-672,-100.0
Agra,Missing Persons,2023,0,0,0,
Agra,Murder,2015,782,274,508,185.4
Agra,Murder,2016,354,782,-428,-54.7
Agra,Murder,2017,1147,354,793,224.0
Agra,Murder,2018,616,1147,-531,-46.3
Agra,Murder,2019,866,616,250,40.6
Agra,Murder,2020,769,866,-97,-11.2
Agra,Murder,2021,578,769,-191,-24.8
Agra,Murder,2022,470,578,-108,-18.7
Agra,Murder,2023,169,470,-301,-64.0
Agra,Rape,2015,816,863,-47,-5.4
Agra,Rape,2016,72,816,-744,-91.2
Agra,Rape,2017,39,72,-33,-45.8
Agra,Rape,2018,1188,39,1149,2946.2
Agra,Rape,2019,373,1188,-815,-68.6
Agra,Rape,2020,639,373,266,71.3
Agra,Rape,2021,788,639,149,23.3
Agra,Rape,2022,771,788,-17,-2.2
Agra,Rape,2023,868,771,97,12.6
Agra,Robbery,2015,337,275,62,22.5
Agra,Robbery,2016,963,337,626,185.8
Agra,Robbery,2017,944,963,-19,-2.0
Agra,Robbery,2018,266,944,-678,-71.8
Agra,Robbery,2019,507,266,241,90.6
Agra,Robbery,2020,902,507,395,77.9
Agra,Robbery,2021,1042,902,140,15.5
Agra,Robbery,2022,675,1042,-367,-35.2
Agra,Robbery,2023,517,675,-158,-23.4
Agra,SLL Crimes,2018,3755,6630,-2875,-43.4
Agra,SLL Crimes,2019,6764,3755,3009,80.1
Agra,SLL Crimes,2020,3011,6764,-3753,-55.5
Agra,SLL Crimes,2021,3551,3011,540,17.9
Agra,SLL Crimes,2022,2595,3551,-956,-26.9
Agra,SLL Crimes,2023,2454,2595,-141,-5.4
