Division,Year,Total
Agra,2014,17129
Agra,2015,18027
Agra,2016,67668
Agra,2017,18671
Agra,2018,67792
Agra,2019,65531
Agra,2020,65332
Agra,2021,64636
Agra,2022,72521
Agra,2023,78454
Aligarh,2014,6801
Aligarh,2015,6737
Aligarh,2016,33642
Aligarh,2017,4250
Aligarh,2018,38860
Aligarh,2019,39353
Aligarh,2020,36691
Aligarh,2021,52442
Aligarh,2022,59515
Aligarh,2023,55062
Ayodhya,2014,6042
Ayodhya,2015,7479
Ayodhya,2016,22683
Ayodhya,2017,4587
Ayodhya,2018,43045
Ayodhya,2019,48505
Ayodhya,2020,49342
Ayodhya,2021,47603
Ayodhya,2022,62069
Ayodhya,2023,64336
Azamgarh,2014,7294
Azamgarh,2015,6346
Azamgarh,2016,20633
Azamgarh,2017,5838
Azamgarh,2018,23451
Azamgarh,2019,23306
Azamgarh,2020,25564
Azamgarh,2021,25757
Azamgarh,2022,33973
Azamgarh,2023,46210
Bareilly,2014,13437
Bareilly,2015,11231
Bareilly,2016,44814
Bareilly,2017,11667
Bareilly,2018,46359
Bareilly,2019,55870
Bareilly,2020,51086
Bareilly,2021,54777
Bareilly,2022,65389
Bareilly,2023,62575
Basti,2014,7021
Basti,2015,4146
Basti,2016,8207
Basti,2017,5652
Basti,2018,10853
Basti,2019,12008
Basti,2020,11243
Basti,2021,13102
Basti,2022,16779
Basti,2023,14455
Chitrakoot,2016,11573
Chitrakoot,2018,14621
Chitrakoot,2019,14603
Chitrakoot,2020,15548
Chitrakoot,2021,15491
Chitrakoot,2022,25764
Chitrakoot,2023,26870
Devipatan,2016,15092
Devipatan,2018,17186
Devipatan,2019,23481
Devipatan,2020,23955
Devipatan,2021,22654
Devipatan,2022,31571
Devipatan,2023,34984
Gorakhpur,2014,5808
Gorakhpur,2015,4936
Gorakhpur,2016,28965
Gorakhpur,2017,7284
Gorakhpur,2018,32537
Gorakhpur,2019,31430
Gorakhpur,2020,42997
Gorakhpur,2021,29231
Gorakhpur,2022,39175
Gorakhpur,2023,49067
Jhansi,2014,5905
Jhansi,2015,7402
Jhansi,2016,19014
Jhansi,2017,8213
Jhansi,2018,23784
Jhansi,2019,24419
Jhansi,2020,29358
Jhansi,2021,27693
Jhansi,2022,31344
Jhansi,2023,34116
Kanpur,2014,12238
Kanpur,2015,13409
Kanpur,2016,51044
Kanpur,2017,13676
Kanpur,2018,53725
Kanpur,2019,62986
Kanpur,2020,67050
Kanpur,2021,36842
Kanpur,2022,43285
Kanpur,2023,46229
Lucknow,2014,17709
Lucknow,2015,17164
Lucknow,2016,68952
Lucknow,2017,20254
Lucknow,2018,77224
Lucknow,2019,93490
Lucknow,2020,50953
Lucknow,2021,62795
Lucknow,2022,65697
Lucknow,2023,66113
Meerut,2014,16196
Meerut,2015,21576
Meerut,2016,81124
Meerut,2017,19264
Meerut,2018,94834
Meerut,2019,89759
Meerut,2020,79471
Meerut,2021,92811
Meerut,2022,95671
Meerut,2023,95822
Mirzapur,2014,6321
Mirzapur,2015,4671
Mirzapur,2016,12296
Mirzapur,2017,6577
Mirzapur,2018,13840
Mirzapur,2019,12006
Mirzapur,2020,12981
Mirzapur,2021,14493
Mirzapur,2022,16534
Mirzapur,2023,21544
Moradabad,2014,6851
Moradabad,2015,5105
Moradabad,2016,47108
Moradabad,2017,6433
Moradabad,2018,49732
Moradabad,2019,52383
Moradabad,2020,52312
Moradabad,2021,47283
Moradabad,2022,59787
Moradabad,2023,70958
Other,2014,4540
Other,2015,4975
Other,2016,114159
Other,2017,9316
Other,2018,96404
Other,2019,107353
Other,2020,158833
Other,2021,165506
Other,2022,187388
Other,2023,188141
Prayagraj,2014,4760
Prayagraj,2015,7560
Prayagraj,2016,26482
Prayagraj,2017,4752
Prayagraj,2018,50468
Prayagraj,2019,54703
Prayagraj,2020,63467
Prayagraj,2021,53875
Prayagraj,2022,68640
Prayagraj,2023,60323
Saharanpur,2014,5622
Saharanpur,2015,7971
Saharanpur,2016,15228
Saharanpur,2017,7001
Saharanpur,2018,17554
Saharanpur,2019,16663
Saharanpur,2020,16023
Saharanpur,2021,17041
Saharanpur,2022,16233
Saharanpur,2023,14814
Varanasi,2014,7505
Varanasi,2015,5732
Varanasi,2016,28723
Varanasi,2017,8226
Varanasi,2018,41181
Varanasi,2019,45051
Varanasi,2020,38337
Varanasi,2021,24204
Varanasi,2022,30171
Varanasi,2023,33552
