District,Peak_year,Peak_total,Best_year,Best_total,Worst_Best_ratio
Lucknow,2019,38928,2014,5009,7.77
Prayagraj,2022,36786,2017,4752,7.74
Aligarh,2021,31406,2017,4250,7.39
Meerut,2022,31807,2014,4873,6.53
Fatehgarh,2020,37702,2019,5785,6.52
Gorakhpur,2020,31539,2015,4936,6.39
Varanasi,2019,23165,2021,3991,5.8
Sitapur,2023,25099,2015,4334,5.79
Bareilly,2019,30763,2017,5345,5.76
Ghaziabad,2021,34219,2014,6543,5.23
Firozabad,2023,23863,2017,4565,5.23
Kanpur Nagar,2020,29883,2014,5760,5.19
Agra,2019,25463,2014,5471,4.65
Shahjahanpur,2022,24941,2015,5622,4.44
Muzaffarnagar,2018,20455,2014,4780,4.28
Basti,2022,16779,2015,4146,4.05
Mathura,2021,20915,2014,5200,4.02
Ambedkar Nagar,2023,12094,2016,3013,4.01
Ayodhya,2020,17622,2017,4587,3.84
Moradabad,2019,19527,2015,5105,3.83
Barabanki,2023,18927,2016,5544,3.41
Balrampur,2023,6315,2016,1961,3.22
Mirzapur,2023,14768,2015,4671,3.16
Azamgarh,2023,20985,2016,6683,3.14
Saharanpur,2018,17554,2014,5622,3.12
Jhansi,2023,18389,2014,5905,3.11
Lalitpur,2022,9806,2016,3207,3.06
Sultanpur,2023,12472,2016,4198,2.97
Ballia,2023,17355,2017,5838,2.97
Sant Kabirnagar,2023,7415,2016,2559,2.9
Kasganj,2021,9721,2016,3408,2.85
Hamirpur,2022,9234,2016,3270,2.82
Hardoi,2019,19651,2016,7030,2.8
Ghazipur,2023,11934,2016,4309,2.77
Noida,2017,9316,2016,3380,2.76
Banda,2023,8749,2016,3229,2.71
Etawah,2022,15928,2015,5956,2.67
Sidharthnagar,2023,7329,2016,2757,2.66
Jaunpur,2019,13193,2016,5183,2.55
Hathras,2023,11400,2020,4526,2.52
Raibareilly,2022,13828,2016,5709,2.42
Sambhal,2023,14685,2016,6106,2.41
Khiri,2022,19524,2016,8325,2.35
Rampur,2022,15104,2021,6544,2.31
Kanpur Dehat,2019,14136,2016,6262,2.26
Mahoba,2022,5171,2016,2308,2.24
Bahraich,2023,15968,2016,7175,2.23
Jalaun,2021,8535,2016,3862,2.21
Chitrakoot,2023,4738,2021,2213,2.14
Gonda,2023,12701,2016,5956,2.13
Hapur,2022,10273,2020,4822,2.13
Sonbhadra,2022,6938,2016,3256,2.13
Bhadohi,2023,4395,2016,2074,2.12
Shrawasti,2023,4246,2016,2003,2.12
Pratapgarh,2022,14917,2016,7281,2.05
Amroha,2023,10978,2016,5391,2.04
Kannauj,2023,10215,2020,5133,1.99
Maharajganj,2023,8650,2016,4402,1.97
Badaun,2022,15256,2019,7792,1.96
Auraiya,2023,8757,2016,4556,1.92
Baghpat,2023,8945,2016,4680,1.91
Chandoli,2023,6129,2020,3206,1.91
Amethi,2020,6484,2016,3411,1.9
Mainpuri,2020,11994,2021,6317,1.9
Kushi Nagar,2023,12770,2019,7013,1.82
Unnao,2022,12907,2016,7096,1.82
Kaushambi,2020,8605,2016,4756,1.81
Mau,2023,7870,2016,4424,1.78
Gautambudh Nagar,2019,26895,2020,15639,1.72
Deoria,2023,9383,2021,5497,1.71
Kanpur Commissionarate,2022,19920,2021,11892,1.68
Bijnor,2022,16880,2020,10020,1.68
Pilibhit,2022,11082,2019,6684,1.66
Etah,2022,10759,2023,6485,1.66
Shamli,2019,6377,2021,4163,1.53
Fatehpur,2023,9981,2019,6656,1.5
Bulandshahar,2021,20448,2016,13932,1.47
Raebareli,2022,7570,2015,5245,1.44
Varanasi Commissionarate,2022,11776,2021,8277,1.42
Lucknow Commissionarate,2020,24458,2021,21355,1.15
Allahabad,2016,16211,2016,16211,1.0
Faizabad,2016,5297,2016,5297,1.0
G. R. P.,2016,11072,2016,11072,1.0
Kanpur Outer,2021,4520,2022,0,0.0
Lucknow Grameen,2020,2878,2022,0,0.0
Vasanasi Dehat,2021,4817,2022,0,0.0
