District,Year,Crime_Type,Total,Source
Agra,2014,Assault,255,Kaggle
Agra,2015,Assault,589,Kaggle
Agra,2016,Assault,240,Kaggle
Agra,2017,Assault,756,Kaggle
Agra,2018,Assault,1009,Kaggle
Agra,2019,Assault,675,Kaggle
Agra,2020,Assault,1007,Kaggle
Agra,2021,Assault,212,Kaggle
Agra,2022,Assault,154,Kaggle
Agra,2023,Assault,964,Kaggle
Agra,2014,Burglary,84,Kaggle
Agra,2015,Burglary,131,Kaggle
Agra,2016,Burglary,180,Kaggle
Agra,2017,Burglary,1001,Kaggle
Agra,2018,Burglary,868,Kaggle
Agra,2019,Burglary,967,Kaggle
Agra,2020,Burglary,877,Kaggle
Agra,2021,Burglary,100,Kaggle
Agra,2022,Burglary,653,Kaggle
Agra,2023,Burglary,305,Kaggle
Agra,2016,Crimes Against Children,347,NCRB
Agra,2018,Crimes Against Children,586,NCRB
Agra,2019,Crimes Against Children,776,NCRB
Agra,2020,Crimes Against Children,323,NCRB
Agra,2021,Crimes Against Children,79,NCRB
Agra,2022,Crimes Against Children,80,NCRB
Agra,2023,Crimes Against Children,248,NCRB
Agra,2016,Crimes Against SCs,177,NCRB
Agra,2018,Crimes Against SCs,183,NCRB
Agra,2019,Crimes Against SCs,173,NCRB
Agra,2020,Crimes Against SCs,144,NCRB
Agra,2021,Crimes Against SCs,239,NCRB
Agra,2022,Crimes Against SCs,157,NCRB
Agra,2023,Crimes Against SCs,149,NCRB
Agra,2016,Crimes Against STs,16,NCRB
Agra,2016,Crimes Against STs,0,NCRB
Agra,2018,Crimes Against STs,0,NCRB
Agra,2019,Crimes Against STs,0,NCRB
Agra,2020,Crimes Against STs,0,NCRB
Agra,2021,Crimes Against STs,0,NCRB
Agra,2022,Crimes Against STs,0,NCRB
Agra,2023,Crimes Against STs,0,NCRB
Agra,2016,Crimes Against Women,1669,NCRB
Agra,2018,Crimes Against Women,1951,NCRB
Agra,2019,Crimes Against Women,1542,NCRB
Agra,2020,Crimes Against Women,1017,NCRB
Agra,2021,Crimes Against Women,1434,NCRB
Agra,2022,Crimes Against Women,1616,NCRB
Agra,2023,Crimes Against Women,1891,NCRB
Agra,2018,Cyber Crimes,86,NCRB
Agra,2019,Cyber Crimes,151,NCRB
Agra,2020,Cyber Crimes,84,NCRB
Agra,2021,Cyber Crimes,127,NCRB
Agra,2022,Cyber Crimes,160,NCRB
Agra,2023,Cyber Crimes,213,NCRB
Agra,2014,Cybercrime,898,Kaggle
Agra,2015,Cybercrime,641,Kaggle
Agra,2016,Cybercrime,372,Kaggle
Agra,2017,Cybercrime,208,Kaggle
Agra,2018,Cybercrime,910,Kaggle
Agra,2019,Cybercrime,322,Kaggle
Agra,2020,Cybercrime,1019,Kaggle
Agra,2021,Cybercrime,278,Kaggle
Agra,2022,Cybercrime,419,Kaggle
Agra,2023,Cybercrime,587,Kaggle
Agra,2014,Dowry Deaths,785,Kaggle
Agra,2015,Dowry Deaths,1011,Kaggle
Agra,2016,Dowry Deaths,994,Kaggle
Agra,2017,Dowry Deaths,706,Kaggle
Agra,2018,Dowry Deaths,162,Kaggle
Agra,2019,Dowry Deaths,1094,Kaggle
Agra,2020,Dowry Deaths,369,Kaggle
Agra,2021,Dowry Deaths,251,Kaggle
Agra,2022,Dowry Deaths,35,Kaggle
Agra,2023,Dowry Deaths,190,Kaggle
Agra,2014,Fraud,1056,Kaggle
Agra,2015,Fraud,351,Kaggle
Agra,2016,Fraud,1120,Kaggle
Agra,2017,Fraud,552,Kaggle
Agra,2018,Fraud,643,Kaggle
Agra,2019,Fraud,417,Kaggle
Agra,2020,Fraud,59,Kaggle
Agra,2021,Fraud,772,Kaggle
Agra,2022,Fraud,170,Kaggle
Agra,2023,Fraud,733,Kaggle
