District,Year,Crime_Type,Total,Source
Agra,2016,IPC Crimes,10049,NCRB
Aligarh,2016,IPC Crimes,5984,NCRB
Allahabad,2016,IPC Crimes,9737,NCRB
Ambedkar Nagar,2016,IPC Crimes,1817,NCRB
Amethi,2016,IPC Crimes,2083,NCRB
Amroha,2016,IPC Crimes,2298,NCRB
Auraiya,2016,IPC Crimes,2523,NCRB
Azamgarh,2016,IPC Crimes,4121,NCRB
Badaun,2016,IPC Crimes,3725,NCRB
Baghpat,2016,IPC Crimes,2139,NCRB
Bahraich,2016,IPC Crimes,3458,NCRB
Ballia,2016,IPC Crimes,2796,NCRB
Balrampur,2016,IPC Crimes,697,NCRB
Banda,2016,IPC Crimes,1504,NCRB
Barabanki,2016,IPC Crimes,2711,NCRB
Bareilly,2016,IPC Crimes,6936,NCRB
Basti,2016,IPC Crimes,1756,NCRB
Bijnor,2016,IPC Crimes,3676,NCRB
Bulandshahar,2016,IPC Crimes,5243,NCRB
Chandoli,2016,IPC Crimes,1635,NCRB
Chitrakoot,2016,IPC Crimes,1275,NCRB
Deoria,2016,IPC Crimes,2653,NCRB
Etah,2016,IPC Crimes,2882,NCRB
Etawah,2016,IPC Crimes,3620,NCRB
Faizabad,2016,IPC Crimes,2746,NCRB
Fatehgarh,2016,IPC Crimes,2621,NCRB
Fatehpur,2016,IPC Crimes,3407,NCRB
Firozabad,2016,IPC Crimes,5173,NCRB
G. R. P.,2016,IPC Crimes,8293,NCRB
Gautambudh Nagar,2016,IPC Crimes,9876,NCRB
Ghaziabad,2016,IPC Crimes,10939,NCRB
Ghazipur,2016,IPC Crimes,2414,NCRB
Gonda,2016,IPC Crimes,2754,NCRB
Gorakhpur,2016,IPC Crimes,6409,NCRB
Hamirpur,2016,IPC Crimes,1454,NCRB
Hapur,2016,IPC Crimes,2241,NCRB
Hardoi,2016,IPC Crimes,3061,NCRB
Hathras,2016,IPC Crimes,2453,NCRB
Jalaun,2016,IPC Crimes,1267,NCRB
Jaunpur,2016,IPC Crimes,2999,NCRB
Jhansi,2016,IPC Crimes,2806,NCRB
Kannauj,2016,IPC Crimes,2797,NCRB
Kanpur Dehat,2016,IPC Crimes,2756,NCRB
Kanpur Nagar,2016,IPC Crimes,8028,NCRB
Kasganj,2016,IPC Crimes,1489,NCRB
Kaushambi,2016,IPC Crimes,2145,NCRB
Khiri,2016,IPC Crimes,4425,NCRB
Kushi Nagar,2016,IPC Crimes,3296,NCRB
Lalitpur,2016,IPC Crimes,1139,NCRB
Lucknow,2016,IPC Crimes,19333,NCRB
Maharajganj,2016,IPC Crimes,1164,NCRB
Mahoba,2016,IPC Crimes,945,NCRB
Mainpuri,2016,IPC Crimes,3184,NCRB
Mathura,2016,IPC Crimes,5146,NCRB
Mau,2016,IPC Crimes,1972,NCRB
Meerut,2016,IPC Crimes,9045,NCRB
Mirzapur,2016,IPC Crimes,897,NCRB
Moradabad,2016,IPC Crimes,6725,NCRB
Muzaffarnagar,2016,IPC Crimes,4515,NCRB
Pilibhit,2016,IPC Crimes,2563,NCRB
Pratapgarh,2016,IPC Crimes,4240,NCRB
Raibareilly,2016,IPC Crimes,2667,NCRB
Rampur,2016,IPC Crimes,2979,NCRB
Saharanpur,2016,IPC Crimes,3588,NCRB
